Name,Company,Designation,,,
Adetee Sawhaney,Altus Interio,Principal designer,,,
Akhil P,BSArchitect,Associate architect,,,
Akhil VK,BCA Architecture,Junior architect,,,
Amit Jadav,JAD STUDIO,Founding principal and designer,,,
Amita Kulkarni & Vikrant Tike,SAV Architecture + Design, Goa,Co-founders,,
Amreen Kaleel,Ad+R (Architecture Design + Research),Founder,,,
Amruta Daulatabadkar,Amruta Daulatabadkar Architects,Principal architect,,,
Animesh Nayak,Open to Sky Architects,Founder partner and principal,,,
Arun Shekar & Mohammed Afnan ,Humming Tree,Principal Architects,,,
Arun Tilak & Favas Mohammed K,ATMOF Architects,Co-founders and principal architects,,,
Nehit Vij & Devyani Gupta,Intrigue Designs,Partners and co-founders,,,
Nehit Vij,Intrigue Designs,Partners and Co-founders,,,
Hardik Shah, Studio Lagom,Principal architect,,,
Hiloni Sutaria,HSC Designs,Founder/lead architect,,,
Jasem Pirani & Huzefa Rangwala,Muselab,Directors and co-founders,,,
Jayakrishnan RJ & Levin P Joy,Finder Studio,Principal architects,,,
Nischal Abhaykumar & Jesal Pathak,M9 Design Studio,Founder; Creative Lead,,,
Joshua Dawson,Joshua Dawson Design,Founder,,,
Keta & Varun Shah ,Workshop Inc,Co-founders,,,
Kruti Garg,Abha Narain Lambah Associates,Director - Conservation,,,
Manmeet Arora,Left of Centre,Founder and creative head,,,
Meghana Kulkarni & Pooja Chaphalkar ,M+P Architects,Principal architects,,,
Nimisha Hakkim,Design Art & Culture,Principal architect,,,
Nishanti Panneer Chelvam,Dot Architecture and Design Studio,Founder,,,
Nishita Kamdar,Studio Nishita Kamdar,Principal,,,
Niel Parekh & Pooja Shah,Co.De,Co-founders and principal architects,,,
Prerna Aggarwal & Badrinath Kaleru,Studio Ardete,Directors,,,
Rakesh Kakkoth,Studio Acis,Principal architect,,,
Sakshi Kumar & Vasanth Packirisamy,Firki,Founding Partner & Principal Architect, ,,
Sharath Nayak,Biome Environmental Solutions,Senior architect,,,
Sucheth Palat & Shivani Kumar ,Studio XS,Principals and founder partners,,,
Shruti Jaipuria,MAIA Design,Founder and creative director,,,
Hemant Purohit & Smita Khanna ,NOTE-D,Directors,,,
Swati Gautam,Morphogenesis,Senior architect,,,
Vinay Shiposkar  ,Architect Hafeez Contractor,Associate architect,,,
Baba Shashank & Vindhya Guduru, Spacefiction Studio,Principal architects and partners,,,
Abha Narain Lambah ,Abha Narain Lambah Associates,,,,
Abin Chaudhuri,Abin Design Studio,,,,
Abraham John and Alan Abraham,Abraham John Architects,,,,
Akshat Bhatt,Architecture Discipline,,,,
Alfaz Miller,ABM Architects,,,,
Alok Shetty,Bhumiputra Architecture,,,,
Ambrish Arora, Ankur Choksi, Asha Sairam, Pankhuri Goel & Siddhartha Talwar,Studio Lotus,
Amisha and Pronit Nath,Urban Studio ,,,,
Amit Khanna,Amit Khanna Design Studio,,,,
Amita Kulkarni & Vikrant Tike,SAV Architecture + Design,,,,
Anamika Prasad, Gurneet Singh  & Tanmay Tathagat ,Environmental Design Solutions [EDS],,,
Annkur Khosla,Annkur Khosla Design Studio,,,,
Anupama Kundoo,Anupama Kundoo Architects,,,,
Anuradha & Vivek Rathore,Salient design studio,,,,
Anuradha Guglani,Independent architect,,,,
Aparna Dhareshwar & Vami Koticha,Sameep Padora & Associates,,,,
Ashiesh Shah,Ashiesh Shah Architecture + Design,,,,
Ayaz & Zameer Basrai,The Busride,,,,
Ayush Kasliwal,Ayush Kasliwal Design private Ltd [AKDPL] ,,,,
Bhadri & Snehal Suthar,The Grid Architects,,,,
Bharat Patel, Dinesh Suthar & Jitendra Sabalapara,Design Work Group,,,
Bobby Mukherji,Bobby Mukherji & Associates,,,,
Bobby Mukherji,Bobby Mukherji & Associates,,,,
Brijesh Shaijal,Design art & culture [DAC],,,,
Brinda Somaya,,,,,
Canna Patel,HCP Interior Design Pvt Ltd [HCPID],,,,
Chitra Vishwanath,Biome Environmental Solutions,,,,
Christopher Charles Benninger,CCBA designs,,,,
Dean D’Cruz,Mozaic ,,,,
Dikshu Kukreja,CP Kukreja Architects,,,,
Dimple Mittal & Vijay Narnapatti,Maya Praxis,,,,
Dipen Gada,Dipen Gada & Associates,,,,
Dominic Dube,DDIR Architecture Studio,,,,
Dulal Mukherjee,Dulal Mukherjee and Associates,,,,
Dulal Mukherjee,Dulal Mukherjee and Associates,,,,
Gayathri Shetty & Namith Varma,Gayathri & Namith Architects,,,,
Gurjit Singh Matharoo,Matharoo Associates,,,,
Hafeez Contractor,Architect Hafeez Contractor,,,,
Hiren Patel,Hiren Patel Architects,,,,
Husna Rahaman,Fulcrum Studio,,,,
Jimmy Mistry,DELLA group,,,,
Kamal & Arjun Malik,Malik Architecture ,,,,
Karan Grover,Karan Grover Associates,,,,
Krishna Rao Jaisim,Jaisim Fountainhead,,,,
Krupa Zubin & Zubin Zainuddin,ZZ Architects,,,,
Lalita Tharani & Mujib Ahmed,Collaborative Architecture,,,,
Latha R Jaigopal & Jaigopal G Rao,Inspiration,,,,
